instant,dteday,season,yr,mnth,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt
1,2011-01-01,Springer,2011,1,Not Holiday,Sat,Holiday,Mist + Cloudy,14.110847,18.18125,80.58330000000001,10.749882,331,654,985
2,2011-01-02,Springer,2011,1,Not Holiday,Sun,Holiday,Mist + Cloudy,14.902598000000001,17.686950000000003,69.6087,16.652113,131,670,801
3,2011-01-03,Springer,2011,1,Not Holiday,Mon,Working Day,Clear,8.050924,9.47025,43.7273,16.636703,120,1229,1349
4,2011-01-04,Springer,2011,1,Not Holiday,Tue,Working Day,Clear,8.200000000000001,10.6061,59.0435,10.739832,108,1454,1562
5,2011-01-05,Springer,2011,1,Not Holiday,Wed,Working Day,Clear,9.305237,11.4635,43.695699999999995,12.522300000000001,82,1518,1600
6,2011-01-06,Springer,2011,1,Not Holiday,Thu,Working Day,Clear,8.378268,11.66045,51.8261,6.0008684,88,1518,1606
7,2011-01-07,Springer,2011,1,Not Holiday,Fri,Working Day,Mist + Cloudy,8.057402,10.44195,49.8696,11.304642,148,1362,1510
8,2011-01-08,Springer,2011,1,Not Holiday,Sat,Holiday,Mist + Cloudy,6.765000000000001,8.1127,53.5833,17.875868,68,891,959
9,2011-01-09,Springer,2011,1,Not Holiday,Sun,Holiday,Clear,5.671653,5.80875,43.416700000000006,24.25065,54,768,822
10,2011-01-10,Springer,2011,1,Not Holiday,Mon,Working Day,Clear,6.184153,7.5443999999999996,48.2917,14.958889,41,1280,1321
11,2011-01-11,Springer,2011,1,Not Holiday,Tue,Working Day,Mist + Cloudy,6.9327309999999995,9.5732,68.6364,8.182844000000001,43,1220,1263
12,2011-01-12,Springer,2011,1,Not Holiday,Wed,Working Day,Clear,7.0818069999999995,8.02365,59.954499999999996,20.410009,25,1137,1162
13,2011-01-13,Springer,2011,1,Not Holiday,Thu,Working Day,Clear,6.765000000000001,7.544149999999999,47.0417,20.166999999999998,38,1368,1406
14,2011-01-14,Springer,2011,1,Not Holiday,Fri,Working Day,Clear,6.59567,9.42065,53.7826,8.478716,54,1367,1421
15,2011-01-15,Springer,2011,1,Not Holiday,Sat,Holiday,Mist + Cloudy,9.566653,12.4056,49.875,10.583521,222,1026,1248
16,2011-01-16,Springer,2011,1,Not Holiday,Sun,Holiday,Clear,9.498347,11.71085,48.375,12.625010999999999,251,953,1204
17,2011-01-17,Springer,2011,1,Holiday,Mon,Holiday,Mist + Cloudy,7.209153,8.838550000000001,53.75,12.999139,117,883,1000
18,2011-01-18,Springer,2011,1,Not Holiday,Tue,Working Day,Mist + Cloudy,8.883347,11.61665,86.16669999999999,9.833924999999999,9,674,683
19,2011-01-19,Springer,2011,1,Not Holiday,Wed,Working Day,Mist + Cloudy,11.979134,14.921100000000001,74.1739,13.957239,78,1572,1650
20,2011-01-20,Springer,2011,1,Not Holiday,Thu,Working Day,Mist + Cloudy,10.728347,12.7525,53.833299999999994,13.125568,83,1844,1927
21,2011-01-21,Springer,2011,1,Not Holiday,Fri,Working Day,Clear,7.2775,7.89165,45.7083,23.667214,75,1468,1543
22,2011-01-22,Springer,2011,1,Not Holiday,Sat,Holiday,Clear,2.4243464,3.9534800000000003,40.0,11.52199,93,888,981
23,2011-01-23,Springer,2011,1,Not Holiday,Sun,Holiday,Clear,3.9573897000000002,4.941955,43.6522,16.5222,150,836,986
24,2011-01-24,Springer,2011,1,Not Holiday,Mon,Working Day,Clear,3.9930433,5.8965,49.173899999999996,10.60811,86,1330,1416
25,2011-01-25,Springer,2011,1,Not Holiday,Tue,Working Day,Mist + Cloudy,9.162598000000001,11.7263,61.695699999999995,8.696332,186,1799,1985
26,2011-01-26,Springer,2011,1,Not Holiday,Wed,Working Day,Light Snow,8.9175,10.18,86.25,19.68795,34,472,506
27,2011-01-27,Springer,2011,1,Not Holiday,Thu,Working Day,Clear,7.995,10.985,68.75,7.627078999999999,15,416,431
28,2011-01-28,Springer,2011,1,Not Holiday,Fri,Working Day,Mist + Cloudy,8.342597999999999,11.165849999999999,79.30430000000001,8.2611,38,1129,1167
